scenario,policy,critical_slice_survival_rate,overall_sla_rate,controller_p95_latency_ms,controller_queue_peak,ai_deadline_miss_rate,attack_leakage_rate,false_positive_isolation_rate,mean_service_ratio
normal,static_qos,1.0,0.9583,4.696,0.0,0.0,0.0,0.0,0.9015
normal,throughput_first,1.0,0.7546,4.696,0.0,0.0,0.0,0.0,0.882
normal,security_only,1.0,0.7454,4.696,0.0,0.0,0.0,0.0,0.8305
normal,failure_aware,1.0,0.8704,4.696,0.0,0.0,0.0,0.0,0.878
normal,aegis_mixer,1.0,1.0,4.696,0.0,0.287,0.0,0.0,0.9571
ai_spike,static_qos,1.0,0.8056,5.304,2.0,0.3333,0.0,0.0,0.8025
ai_spike,throughput_first,0.9815,0.75,9.3,146.0,0.0093,0.0,0.0,0.815
ai_spike,security_only,0.9815,0.713,20.22,536.0,0.1481,0.0,0.0,0.7454
ai_spike,failure_aware,0.6852,0.7222,5.248,0.0,0.037,0.0,0.0,0.7931
ai_spike,aegis_mixer,1.0,0.9722,5.248,0.0,0.1389,0.0,0.0,0.9078
encrypted_ddos,static_qos,0.4259,0.5259,60.816,1928.0,0.2963,1.0,0.0,0.7114
encrypted_ddos,throughput_first,0.3148,0.4259,78.912,2564.0,0.4352,0.8333,0.0,0.6941
encrypted_ddos,security_only,0.3148,0.3889,72.552,2360.0,0.3889,0.0,0.0,0.6472
encrypted_ddos,failure_aware,0.6296,0.3259,43.824,1334.0,0.1852,0.0,0.0,0.5205
encrypted_ddos,aegis_mixer,0.4074,0.6815,51.944,1624.0,0.3981,0.0,0.0,0.633
mixed_failure,static_qos,0.2778,0.3926,73.768,2379.0,0.7593,1.0,0.0,0.6411
mixed_failure,throughput_first,0.2037,0.3444,91.864,3015.0,0.6389,0.8333,0.0,0.6494
mixed_failure,security_only,0.2593,0.3,85.504,2811.0,0.6204,0.0,0.0,0.5914
mixed_failure,failure_aware,0.4074,0.2259,56.776,1785.0,0.5278,0.0,0.0,0.4848
mixed_failure,aegis_mixer,0.2593,0.5963,63.328,2019.0,0.5648,0.0,0.0,0.6289
